Ticker,LastPrice,AnnVol,MaxDD,VaR95,CVaR95,VaRExceed95,VolRegime,RollingSharpe63,Alerts,Beta63,Corr63
9988.HK,163.1999969482422,0.5245811813067397,-0.2935842978603841,-0.03934603341999324,-0.05555643652300998,0.050387596899224806,LOW,0.6642912552604348,DD <= 25% | VaR <= 3.0%,1.900909528130852,0.7823512746295711
1810.HK,35.41999816894531,0.47738788516817,-0.4111388649972647,-0.039574038883126425,-0.06521408498731371,0.050387596899224806,LOW,-3.2487718136678514,DD <= 25% | VaR <= 3.0%,0.9566522580707708,0.5239386418619656
3690.HK,97.30000305175781,0.45065823047535064,-0.4850136239782016,-0.0445207016124754,-0.06731121725122563,0.050387596899224806,LOW,0.4303685109480528,DD <= 25% | VaR <= 3.0%,1.0423287194368092,0.5689967459923748
9618.HK,112.80000305175781,0.4428154588697355,-0.38178511232447643,-0.03999195733142916,-0.06095312440116655,0.050387596899224806,LOW,-1.4276547056201394,DD <= 25% | VaR <= 3.0%,1.254540502275145,0.8182570083731975
2020.HK,79.0999984741211,0.32618348949426323,-0.25907754389781623,-0.033683635551919,-0.046666401744453245,0.050387596899224806,LOW,-1.078688431696573,DD <= 25% | VaR <= 3.0%,0.7009244512463075,0.4789575966515454
0700.HK,602.5,0.31811100397186576,-0.19963234649178652,-0.024594716711889664,-0.04205842120926927,0.050387596899224806,LOW,-0.16203194875124746,,1.1930656096337373,0.8662706955261029
