Ticker,LastPrice,AnnVol,MaxDD,VaR95,CVaR95,VaRExceed95,VolRegime,RollingSharpe63,Alerts
9988.HK,163.1999969482422,0.5221834901514508,-0.2935842978603841,-0.03932590987856945,-0.05555643652300998,0.05019305019305019,LOW,0.2019023200087331,DD <= 25% | VaR <= 3.0%
1810.HK,35.41999816894531,0.47637016641232777,-0.4111388649972647,-0.03955987393084965,-0.06521408498731371,0.05019305019305019,LOW,-3.6491558518121616,DD <= 25% | VaR <= 3.0%
3690.HK,97.30000305175781,0.44960058490221244,-0.4850136239782016,-0.044461570761583635,-0.06731121725122563,0.05019305019305019,LOW,0.14259562461786995,DD <= 25% | VaR <= 3.0%
9618.HK,112.80000305175781,0.4419155356464469,-0.38178511232447643,-0.03981917954574596,-0.06095312440116655,0.05019305019305019,LOW,-1.9386578832560377,DD <= 25% | VaR <= 3.0%
2020.HK,79.0999984741211,0.3255894773589767,-0.25907754389781623,-0.033663093911600016,-0.046666401744453245,0.05019305019305019,LOW,-1.271658463847528,DD <= 25% | VaR <= 3.0%
0700.HK,602.5,0.31684091818081495,-0.19963234649178652,-0.024574422044076366,-0.04205842120926927,0.05019305019305019,LOW,-0.7478051280525209,
